Aug 08 14:23:04:245 [main, pagerduty] Only restricted security available, no login
Aug 08 14:23:07:309 [Thread-0, pagerduty] token= PT5ncHhmLyJgOnEicENoZHVmb2BjNUYqQUtAcXxOeXI=
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.net.URLClassLoader$1.run(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.net.URLClassLoader$1.run(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.security.AccessController.doPrivileged(Native Method)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.net.URLClassLoader.findClass(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.lang.ClassLoader.loadClass(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at sun.misc.Launcher$AppClassLoader.loadClass(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	at java.lang.ClassLoader.loadClass(Unknown Source)
Aug 08 14:34:31:935 [Thread-0, pagerduty] 	... 12 more
Aug 08 14:34:31:935 [Thread-0, pagerduty] NoClassDefFoundError: org/apache/juli/logging/LogFactory
Aug 08 14:36:00:254 [main, pagerduty] Log Level = 4
Aug 08 14:36:00:264 [main, pagerduty] Loading...
Aug 08 14:36:00:294 [main, pagerduty] ****************[ Starting ]****************
Aug 08 14:36:00:294 [main, pagerduty] 1.01
Aug 08 14:36:00:294 [main, pagerduty] MorseCode Incorporated
Aug 08 14:36:00:304 [main, pagerduty] port=48005
Aug 08 14:36:00:334 [main, pagerduty] Only restricted security available, no login
Aug 08 14:36:03:366 [Thread-0, pagerduty] Reading License: Demo|2|2016-03-01 00:00
Aug 08 14:36:03:366 [Thread-0, pagerduty] License valid until: 2016-03-01 00:00
Aug 08 14:36:03:416 [Thread-0, pagerduty] org/apache/juli/logging/LogFactory
Aug 08 14:36:03:416 [Thread-0, pagerduty] java.lang.NoClassDefFoundError: org/apache/juli/logging/LogFactory
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at org.apache.catalina.util.LifecycleBase.<clinit>(LifecycleBase.java:37)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at org.apache.catalina.startup.Tomcat.getHost(Tomcat.java:442)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at inc.morsecode.core.HttpGateway.bootTomcat(HttpGateway.java:297)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at inc.morsecode.core.HttpGateway.bootstrap(HttpGateway.java:184)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at inc.morsecode.core.HttpGateway.execute(HttpGateway.java:218)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
Aug 08 14:36:03:416 [Thread-0, pagerduty] 	at java.lang.reflect.Method.invoke(Unknown Source)
